ref,Title,Publication date,Authors,Publisher EN,Publisher FR,Publisher SP,Country EN,Country FR,Country SP,Language of the document,File Name
270,Painted Apple Moth: Reassessment of Potential Economic Impacts,2002,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Painted Apple Moth Reassessment of Potential Economic Impacts.pdf
271,Pakistan's Agro-based Report Export and Sanitary and Phyto-Sanitary (SPS) Compliance,2006,The World Bank; United Nations Industrial Development Organization (UNIDO),The World Bank; United Nations Industrial Development Organization (UNIDO),La Banque mondiale; Organisation des Nations Unies pour le développement industriel (ONUDI) ,El Banco Mundial; Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),Pakistan,Pakistan,Pakist�n,EN,Pakistan's Agro-based Report Export and Sanitary and Phyto-Sanitary (SPS) Compliance.pdf
272,Participatory Validation and Dissemination of Management Technologies for Bactrocera invadens and other Major Pests that Constrain Production and Export of Fruits and Vegetables in East and Southern Africa,2010,"Ministry of Agriculture, Food Security & Cooperative (MAFSC) of the Republic of  Tanzania","Ministry of Agriculture, Food Security & Cooperative of the Republic of  Tanzania (MAFSC) ","Ministry of Agriculture, Food Security & Cooperative of the Republic of  Tanzania (MAFSC) ","Ministry of Agriculture, Food Security & Cooperative of the Republic of  Tanzania (MAFSC) ",,,,EN,Participatory Validation and Dissemination of Management Technologies.doc
273,Partnerships for Development,,Rubert Konijn,"Ministry of Agriculture, Nature and Food Quality (Netherlands)","Ministry of Agriculture, Nature and Food Quality (Netherlands)","Ministry of Agriculture, Nature and Food Quality (Netherlands)",Viet Nam,Viet Nam,Viet Nam,EN,Partnerships for Development - ASEM Lecture July 5 The Netherlands.pptx
274,"Performance, Vision and Strategy (PVS) for National Food Safety Services",2007,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,"Performance, Vision and Strategy (PVS) for National Food Safety Services.pdf"
275,"Performance, Vision and Strategy (PVS) for National Plant Protection Organizations",2006,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,"Performance, Vision and Strategy (PVS) for National Plant Protection Organizations.pdf"
276,"Performance, Vision and Strategy (PVS) for National Veterinary Services",2008,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,"Performance, Vision and Strategy (PVS) for National Veterinary Services.pdf"
277,"Performance, Vision and Strategy (PVS) for SPS - An Institutional Vision",2008,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,"Performance, Vision and Strategy (PVS) for SPS - An Institutional Vision.pdf"
278,"Performance, Vision and Strategy (PVS) Report - Socialist Republic of Vietnam",2007,E. Fermet-Quinet; R. Jane; S. Forman,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Viet Nam,Viet Nam,Viet Nam,EN,"Performance, Vision and Strategy - A tool for the governance of Veterinary Services.pdf"
279,Pest Risk Analysis for South American Leaf Blight of Rubber,2007,Asia Pacific Plant Protection Commission (APPPC),Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Pest Risk Analysis for South American Leaf Blight (SALB) of Rubber (Hevea).pdf
280,Phytosanitary Capacity Evaluation Tool (PCE) - Information flyer,2011,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),,,,EN,IPPC-PCE_Flyer.pdf
281,PIP User Manual,2009,Programme Initiative Pesticide (PIP),Programme Initiative Pesticide (PIP),Programme Initiative Pesticide (PIP),Programme Initiative Pesticide (PIP),,,,EN,PIP User Manual (Video).mht
282,Population dynamics and on-farm fruit fly integrated pest management in mango orchards in the natural area of Niayes in Senegal,2008,Mbaye Ndiaye; Elhadji Omar Dieng; Gilles Delhove,"Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India","Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India","Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India",Senegal,Sénégal,Senegal,EN,Population dynamics and on-farm fruit fly integrated pest management in mango orchards.pdf
283,Potential Economic Impact on New Zealand of the Painted Apple Moth,2000,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Potential Economic Impact on New Zealand of the Painted Apple Moth.pdf
284,Predicting the effects of climate change on infectious diseases of animals,2008,Jan van Dijk; Matthew Baylis,University of Liverpool,University of Liverpool,University of Liverpool,,,,EN,Predicting the effects of climate change on infectious diseases of animals.pdf
285,Présentation du Plan d'Action Régional en Afrique de l'Ouest contre les mouches des fruits,2009,Frédéric Plumelle,Economic Community Of West African States (ECOWAS),Communauté Economique Des Etats de l'Afrique de l'Ouest  (CEDEAO),Economic Community Of West African States (ECOWAS),,,,FR,Présentation du Plan d'Action Régional en Afrique de l'Ouest contre les mouches des fruits.ppt
286,Présentation du Plan d'Action Régional en Afrique de l'Ouest contre les mouches des fruits - Budget,2009,Frédéric Plumelle,Economic Community Of West African States (ECOWAS),Communauté Economique Des Etats de l'Afrique de l'Ouest  (CEDEAO),Economic Community Of West African States (ECOWAS),,,,FR,Présentation du Plan d'Action Régional en Afrique de l'Ouest contre les mouches des fruits - Budget.ppt
287,Présentation du Plan d'Action Régional en Afrique de l'Ouest contre les mouches des fruits - Montage institutionnel,2009,Frédéric Plumelle,Economic Community Of West African States (ECOWAS),Communauté Economique Des Etats de l'Afrique de l'Ouest  (CEDEAO),Economic Community Of West African States (ECOWAS),,,,FR,Présentation du Plan d'Action Régional en Afrique de l'Ouest contre les mouches des fruits - Montage institutionnel.ppt
288,Private standards and certification in fisheries and aquaculture - Current practice and emerging issues,2011,Sally Washington; Lahsen Ababouch,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Private standards and certification in fisheries and aquaculture - Current practice and emerging issues.pdf
289,Procedural Step-by-Step Manual for SPS Notifications Authorities and SPS National Enquiry Points,2011,Sally Jennings,World Trade Organization (WTO) ,Organisation Mondiale du Commerce (OMC) ,Organización Mundial del Comercio (OMC) ,,,,EN,Procedural Step-by-Step Manual for SPS Notifications Authorities and SPS National Enquiry Points.pdf
290,Public Private Partnership - the SSAFFE initiative (Safe Supply of Affordable Food Everywhere),2007,Will Hueston; Mike Robach,University of Minnesota,University of Minnesota,University of Minnesota,,,,EN,Public Private Partnership - the SSAFFE initiative (Safe Supply of Affordable Food Everywhere).pdf
291,Public-private partnerships and collective action in high value fruit and vegetable supply chains,2009,Clare Narrod; Devesh Roy; Julius Okello; Belem Avenda�o; Karl Rich; Amit Thorat,Elsevier Ltd,Elsevier Ltd,Elsevier Ltd,Kenya; India,Kenya; Inde,Kenya; India,EN,Public-private partnerships and collective action in high value fruit and vegetable supply chains.pdf
292,Public-Private Regulatory Partnerships - What Lessons Can We Learn from the Co-Regulation of Food Safety,,Marian Garcia; Paul Verbruggen; Andrew Fearne,University of Kent,University of Kent,University of Kent,,,,EN,Public-Private Regulatory Partnerships - What Lessons Can We Learn from the Co-Regulation of Food Safety.pdf
293,Quantifying investments in fruit fly research and development in the Asia-Pacific region,2009,Dr Paul Vitolovich,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),,,,EN,Quantifying investments in fruit fly research and development in the Asia-Pacific region.pdf
294,Quantifying the Trade Effect of Sanitary and Phytosanitary Regulations of OECD Countries on South African Food Exports,2007,Y. Gebrehiwet; S. Ngqangweni; J.F Kirsten,Agricultural Economics Association of South Africa (AEASA),Agricultural Economics Association of South Africa (AEASA),Agricultural Economics Association of South Africa (AEASA),,,,EN,Quantifying the Trade Effect of Sanitary and Phytosanitary Regulations of OECD Countries on South African Food Exports.pdf
295,Reconciling Food Safety with Import Facilitation Objectives Helping Developing Country Producers Meet U.S. and EU Food Requirements Through Transatlantic Cooperation,2008,Linda R. Horton; Elisabethann Wright,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),,,,EN,Reconciling Food Safety with Import Facilitation Objectives.pdf
296,Red Menace - Stop the Ug99 Fungus Before its Spores Bring Starvation,2010,Brendan I. Koerner,WIRED Magazine,WIRED Magazine,WIRED Magazine,,,,EN,Red Menace - Stop the Ug99 Fungus Before its Spores Bring Starvation.pdf
297,Reforming the Regulatory Procedures for Import and Export - Guide for Practitioners,2006,Small and Medium Enterprise Department - The World Bank Group,International Finance Corporation (IFC),International Finance Corporation (IFC),International Finance Corporation (IFC),,,,EN,Reforming the Regulatory Procedures for Import and Export - Guide for Practitioners.pdf
298,Regional Review of Development Policy Interventions in Key Agricultural Commodity Sectors in non-ACP African Developing Countries,2008,Marian Garcia,University of Kent,University of Kent,University of Kent,,,,EN,Regional Review of Development Policy Interventions in Key Agricultural Commodity Sectors.doc
299,Regional Trade Agreements - Treatment of Agriculture,2011,Linda Fulponi; Matthew Shearer; Juliana Almeida,Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,Regional Trade Agreements - Treatment of Agriculture.pdf
300,Report of Impact Assessment of SPS Measures: A Case Study of EU Bans on Nile Perch Imports from Kenya,2010,A. Edewa; L. Obungu; U. Kleih,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),Kenya,Kenya,Kenya,EN,Report of Impact Assessment A Case Study of EU Bans on Nile Perch Imports from Kenya.doc
301,Report of Impact Assessment of SPS Measures: A Case Study of South Africa's Ban on Imports of Kenyan Avocado due to Fruit Fly,2010,A. Edewa; W. Otieno; U. Kleih,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),Kenya,Kenya,Kenya,EN,Report of Impact Assessment A Case Study of South Africa's Ban on Imports of Kenyan Avocado due to Fruit Fly.doc
302,Report of Impact Assessment of SPS Measures: A Case Study of the Impact of Citrus Black Spot on the Citrus Industries in South Africa and Swaziland,2010,U. Kleih; D. Cassidy,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),South Africa; Swaziland,Afrique du Sud; Swaziland,Sud�frica; Swazilandia,EN,Report of Impact Assessment A Case Study of the Impact of Citrus Black Spot in SA and Swaziland.pdf
303,Republic of Ghana - Revised Food Safety Action Plan,,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Ghana,Ghana,Ghana,EN,WB_GhanaFoodSafetyActionPlan.pdf
304,"Research for Development (R4D) Review - Issue 6, Plant Health Special",2011,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),,,,EN,Issue 6  IITA Research for Development (R4D) Review - Plant Health Special.pdf
305,Respuesta del OIRSA a requerimientos en MSF en CA - Taller Sub Regional sobre Cooperación Técnica relacionada con MSF en Centroamérica,2008,Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),,,,SP,Respuesta del OIRSA a requerimientos en MSF en CA (OIRSA).pdf
306,Review of the National SPS Infrastructure of the People's Republic Of Bangladesh,2006,Digby Gascoine; Abul K. Azad,International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),Bangladesh,Bangladesh,Bangladesh,EN,STDF_PG_321 - Review of the National SPS Infrastructure of the People's Republic Of Bangladesh.doc
307,"Review: Case Study of Phytophthora Ramorum, an Emerging Plant Pathogen in Cultivated and Wild Environments",2006,Alison J Wright; James Woodhall,"Department for the Environment, Food and Rural Affairs (Defra)","Department for the Environment, Food and Rural Affairs (Defra)","Department for the Environment, Food and Rural Affairs (Defra)",United Kingdom,Royaume-Uni,Reino Unido,EN,"Review - Case Study of Phytophthora Ramorum, an Emerging Plant Pathogen in Cultivated and Wild Environments.pdf"
308,Salmonella Control in Denmark and the EU,2007,Tove Christensen; Lill Andersen,Cornell University,Cornell University,Cornell University,Denmark; European Union,Danemark; Union européenne,Dinamarca; Unión Europea,EN,Salmonella Control in Denmark and the EU.pdf
309,Salmonella Control Programmes Denmark,2003,Wegener HC; Hald T; Wong DLF; Madsen M; Korsgaard H; Bager F,Emerging Infectious Diseases,Emerging Infectious Diseases,Emerging Infectious Diseases,Denmark,Danemark,Dinamarca,EN,Salmonella Control Programmes Denmark.pdf
310,"Sanitary & Phyto-sanitary Capacity Evaluation of The Gambia, Ghana and Nigeria",2005,Kofi Humado,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Gambia; Ghana; Nigeria,Gambie; Ghana; Nigéria,Gambia; Ghana; Nigeria,EN,"Sanitary and Phytosanitary Capacity Evaluation of The Gambia, Ghana and Nigeria.pdf"
311,Sanitary and Phytosanitary (SPS) Annex to the SADC Protocol on Trade,2008,Southern African Development Community (SADC),Southern African Development Community (SADC),Southern African Development Community (SADC),Southern African Development Community (SADC),,,,EN,Sanitary and Phytosanitary Annex to the SADC Protocol on Trade.pdf
312,Sanitary and phytosanitary measures: Enhancing agro-food trade in the Lao PDR,2010,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,Sanitary and Pytosanitary Measures Enhancing agro-food trade in the Lao PDR.pdf
313,"Sanitary, Phytosanitary and Technical Barriers to Trade in the Economic Partnership Agreements between the European Union and the ACP Countries",2010,Denise Prévost,International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),,,,EN,"Sanitary, Phytosanitary and Technical Barriers to Trade in the Economic Partnership Agreements between the.pdf"
314,Scoping Study on the Damages Inflicted by Fruit Flies on West Africa's Fruit Production and Action Plan for a Coordinated Regional Response,2008,J. Stonehouse; M. Ritchie; T. Paqui; M. Ndiaye; S. Tchibozo; R. Dabire; L. Jobe; M. Billah,European Union,Union européenne,Unión Europea,Benin; Burkina Faso; Côte d'Ivoire; The Gambia; Ghana; Guinea; Mali; Senegal,Bénin; Burkina Faso; Côte d'Ivoire; Gambie; Ghana; Guinée; Mali; Sénégal,"Benin; Burkina Faso; Côte d'Ivoire; Gambia; Ghana; Guinea, Malí; Senegal",EN,Scoping Study on the Damages Inflicted by Fruit Flies.pdf
315,Second FAO-WHO Global Forum of Food Safety Regulators - Building effective food safety systems,2004,Food and Agriculture Organization of the United Nations (FAO); World Health Organization (WHO),Food and Agriculture Organization of the United Nations (FAO); World Health Organization (WHO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); Organisation mondiale de la Santé (OMS),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); Organización Mundial de la Salud (OMS),,,,EN,Second FAO-Who Global Forum of Food Safety Regulators - Building effective food safety systems.pdf
316,Second Joint WTO-OECD Report on Trade-Related Technical Assistance and Capacity Building (TRTA-CB),2003,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO),Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,,,,EN,Second Joint WTO-OECD Report on Trade-Related Technical Assistance and Capacity Building (TRTA-CB).pdf
317,South-South Trade in Asia - The Role of Regional Trade Agreements,2008,United Nations Conference on Trade and Development (UNCTAD); Japan External Trade Organization (JETRO),United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),,,,EN,South-South Trade in Asia - The Role of Regional Trade Agreements.pdf
318,"Special Event on Impact of Climate Change, Pests and Diseases on Food Security and Poverty Reduction",2005,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,"Special Event on Impact of Climate Change, Pests and Diseases on Food Security and Poverty Reduction.pdf"
319,SPS Capacity in Sierra Leone,2006,Kofi Humado; West Africa Trade Hub (WATH),United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Sierra Leone,Sierra Leone,Sierra Leona,EN,SPS Capacity in Sierra Leone.pdf
320,SPS measures and possible market access implications for agricultural trade in the Doha Round: An analysis of systemic issues,2012,Murali Kullummal,Asia-Pacific Research and Training Network on Trade (ARTNet),Asia-Pacific Research and Training Network on Trade (ARTNet),Asia-Pacific Research and Training Network on Trade (ARTNet),,,,EN,ARTNeT_WorkingPaper116_SPSMarketAccess.pdf
321,SPS Related Technical Assistance Activities (KEPHIS),2011,James Micah Onsando,Kenya Plant Health Inspectorate Service (KEPHIS),Kenya Plant Health Inspectorate Service (KEPHIS),Kenya Plant Health Inspectorate Service (KEPHIS),Kenya,Kenya,Kenya,EN,SPS Related Technical Assistance Activities (KEPHIS).pdf
322,SPS-related technical assistance and capacity building activities,2010,European Commission,European Union,Union européenne,Unión Europea,,,,EN,SPS-related technical assistance and capacity building activities.pdf
323,Standards and Agricultural Trade in Asia,2008,Daniele Giovannucci; Timothy Purcell,Asian Development Bank Institute (ADB Institute),Asian Development Bank Institute (ADB Institute),Asian Development Bank Institute (ADB Institute),,,,EN,ADBI_Standards_and_Agricultural_Trade_in_Asia.pdf
324,Standards and Global Trade: A Voice for Africa,2003,The World Bank,The World Bank,The World Bank,The World Bank,,,,EN,Standards and Global Trade - A Voice for Africa.pdf
325,Standards-as-Barriers versus Standards-as-Catalysts - Assessing the Impact of HACCP Implementation on U.S. Seafood Imports,2003,Sven M. Anders; Julie A. Caswell,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,EN,Standards-as-Barriers versus Standards-as-Catalysts - Assessing the Impact of HACCP Implementation on U.S. Seafood Imports.pdf
326,Staple Foods Value Chain Analysis - Country Report: Malawi,2009,Chemonics International Inc.,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Malawi,Malawi,Malawi,EN,Staple Foods Value Chain Analysis. Country Report - Malawi.pdf
327,"Strategic Planning Workshop and Steering Committee Meeting, ICARDA, Aleppo, 10-14 February 2008 - Summary record of proceedings and decisions",2008,B. James,Systemwide Program on Integrated Pest Management (SP-IPM),Systemwide Program on Integrated Pest Management (SP-IPM),Systemwide Program on Integrated Pest Management (SP-IPM),,,,EN,"Strategic Planning Workshop and Steering Committee Meeting, ICARDA, Aleppo, 10 -14 February 2008.pdf"
328,Strategic Research for Sustainable Food and Nutrition Security in Asia,2010,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,Strategic Research for Sustainable Food and Nutrition Security in Asia.pdf
329,Strategic Review of WTO-provided TRTA Activities,2006,Unity & Trust Society (CUTS) - India; Facultad Latinoamericana de Ciencias Sociales (FLACSO) - Argentina; North-South Institute (NSI) - Canada,World Trade Organization (WTO) ,Organisation Mondiale du Commerce (OMC) ,Organización Mundial del Comercio (OMC) ,,,,EN,Strategic Review of WTO-provided TRTA Activities.pdf
330,Strengthening national food control systems - Guidelines to assess capacity building needs,2006,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Strengthening national food control systems - Guidelines to assess capacity building needs.pdf
331,Strengthening national food control systems - Quick guide to assess capacity building needs,2007,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Strengthening national food control systems - Quick guide to assess capacity building needs.pdf
332,Studies on agriculture adaptation to climate change,2010,Songcai You; Kiyoshi Takahashi,"National Institute for Environmental Studies (NIES), Japan","National Institute for Environmental Studies (NIES), Japan","National Institute for Environmental Studies (NIES), Japan",,,,EN,Studies on agriculture adaptation to climate change.pdf
333,Study to Improve Compliance with EU Commission Sanitary Standards in the CARIFORUM Fisheries Sector,2006,John Landos; Stephen Smikle; Reuben Charles,European Union,Union européenne,Unión Europea,,,,EN,Strengthening Fishery Products Health Conditions in ACP-Oct Countries.pdf
334,Suivi des Populations  des Mouches des Fruits et Démonstration d'un  Dispositif de Lutte Intégrée dans des Vergers de Manguiers,2007,Mbaye Ndiaye et. al,Direction de la Protection des Végétaux (DPV) du Sénégal,Direction de la Protection des Végétaux (DPV) du Sénégal,Direction de la Protection des Végétaux (DPV) du Sénégal,Senegal,Sénégal,Senegal,FR,Suivi des populations  des mouches des fruits.pdf
335,Summary Report - Project STDF/PG/108,2011,Ricardo Molins,Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,Summary Report - Project STDF_PG_108 (IICA).pdf
336,Tackling non-traditional barriers to trade: How EPAs can be made truly pro-development; Trade Negotiations Insight,2010,Denise Prévost,International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),,,,EN,"Trade Negotiations Insight  Riding out the storm Will the EPAs sink (Issue 9, Volumw 9 - November 2010).pdf"
337,Taking a value chain approach in economic analysis for avian influenza: a necessary backdrop to economic analysis,2009,Nicoline de Haan; Jonathan Rushton,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Taking a value chain approach in economic analysis for Avian Influenza.pdf
338,Tanzania's Agro-Food Trade and Emerging SPS Standards: Toward a Strategic Approach and Action Plan,2005,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Tanzania,Tanzanie,Tanzanía,EN,WB_TanzaniaSPS_Mar-05.pdf
339,Technical Co-operation - SAG Chile,2009,Gonzalo Ríos K,Servicio Agrícola y Ganadero (SAG) de Chile,Servicio Agrícola y Ganadero (SAG) de Chile,Servicio Agrícola y Ganadero (SAG) de Chile,Chile,Chili,Chile,EN,Technical Co-operation - SAG Chile.pdf
340,The assessment of the capacity needs of SMCA service providers in Uganda to support priority product value chains,2012,Ayaah Enterprises Ltd.,"Ministry of Trade Tourism and Industry, Uganda","Ministry of Trade Tourism and Industry, Uganda","Ministry of Trade Tourism and Industry, Uganda",Uganda,Ouganda,Uganda,EN,Uganda_SMCA_CapactityReport_Aug-12.pdf
341,The CBI and its SPS-related activities,2011,Bart Slob,Centre for the Promotion of Imports from developing countries (CBI),Centre for the Promotion of Imports from developing countries (CBI),Centre for the Promotion of Imports from developing countries (CBI),,,,EN,The CBI and its SPS-related activities.pdf
342,The economic impact of foot and mouth disease control and eradication in the Philippines,2002,T.F. Randolph; B.D. Perry; C.C. Benigno; I.J. Santos; A.L. Agbayani; P. Coleman; R. Webb; L.J. Gleeson,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,Philippines,Philippines,Filipinas,EN,The economic impact of foot and mouth disease control and eradication in the Philippines.pdf
343,The Economics of Food Safety in Developing Countries,2003,Spencer Henson,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,The Economics of Food Safety in Developing Countries.pdf
344,The Economics of Food Safety: The Case of Green Onions and Hepatitis A Outbreaks,2004,Linda Calvin; Belem Avenda�o; Rita Schwentesius,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),,,,EN,The Economics of Food Safety - The Case of Green Onions and Hepatitis A Outbreaks.pdf
345,The Economics of Implementing Traceability in Beef Supply Chains Trends in Major Producing and Trading Countries,2004,Diogo M. Souza-Monteiro; Julie A. Caswell,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,EN,The Economics of Implementing Traceability in Beef Supply Chains Trends in Major Producing and Trading Countries.pdf
346,The Effectiveness of Public Private Partnerships in East African Export-Oriented Horticulture,2009,Stella Pfisterer; Diederik de Boer; Huub Mudde; Meine Pieter van Dijk; Rob van Tulder,"Dutch Ministry of Foreign Affairs; Dutch Ministry of Agriculture, Nature and Food Security","Dutch Ministry of Foreign Affairs; Dutch Ministry of Agriculture, Nature and Food Security","Dutch Ministry of Foreign Affairs; Dutch Ministry of Agriculture, Nature and Food Security",Tanzania; Kenya; Ethiopia; Uganda; Zambia,Tanzanie; Kenya; Ethiopie; Ouganda; Zambie,Tanzanía; Kenya; Etiopía; Uganda; Zambia,EN,The Effectiveness of Public Private Partnerships in East African Export-Oriented Horticulture.pdf
347,"The Effectiveness of the Trilateral Partnership between The Netherlands, Malaysia and Indonesia",2009,Stella Pfisterer; Meine Pieter van Dijk; Rob van Tulder,"Dutch Ministry of Agriculture, Nature and Food Security; Dutch Ministry of Foreign Affairs","Dutch Ministry of Agriculture, Nature and Food Security; Dutch Ministry of Foreign Affairs","Dutch Ministry of Agriculture, Nature and Food Security; Dutch Ministry of Foreign Affairs",Netherlands; Malaysia; Indonesia,Pays-Bas; Malaisie; Indonésie,Países Bajos; Malasia; Indonesia,EN,"The Effectiveness of the Trilateral Partnership between The Netherlands, Malaysia and Indonesia.pdf"
348,The Establishment of the Caribbean Agricultural Health and Food Safety Agency (CAHFSA) and a Regional SPS Regime,2011,Caribbean Community (CARICOM) Secretariat,Caribbean Community (CARICOM),Caribbean Community (CARICOM),Caribbean Community (CARICOM),,,,EN,AID-FOR-TRADE CASE STORY - The Establishment of CAHFSA and a Regional SPS Regime.doc
349,The export of horticultural and high-value agricultural products from the Pacific islands,2007,Andrew M. McGregor,Asia Pacific Press,Asia Pacific Press,Asia Pacific Press,,,,EN,The export of horticultural and high-value agricultural products from the Pacific islands.pdf
350,The Global Food Safety Initiative - GFSI Guidance Document (6th Edition),2011,Global Food Safety Initiative and The Consumer Goods Forum,Global Food Safety Initiative (GFSI),Global Food Safety Initiative (GFSI),Global Food Safety Initiative (GFSI),,,,EN,The Global Food Safety Initiative - GFSI Guidance Document.pdf
