Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
291,"Trade Facilitation beyond the Multilateral Trade Negotiations -Regional Practices, Customs valuation and Other Emerging Issues",2008,United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),United Nations Development Programme (UNDP),SPS-General,,,,EN,Trade Facilitation beyond the Multilateral Trade Negotiations.pdf,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),"Trade Facilitation beyond the Multilateral Trade Negotiations -Regional Practices, Customs valuation and Other Emerging Issues","Trade Facilitation beyond the Multilateral Trade Negotiations -Regional Practices, Customs valuation and Other Emerging Issues",Report,Rapport,Reporte
292,Trade Facilitation Handbook Part I - National Facilitation Bodies: Lessons from Experience,2006,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),SPS-General,,,,EN,TRADE FACILITATION HANDBOOK PART I National Facilitation Bodies - Lessons from Experience.pdf,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Trade Facilitation Handbook Part I - National Facilitation Bodies: Lessons from Experience,Trade Facilitation Handbook Part I - National Facilitation Bodies: Lessons from Experience,Other,Autres,Otro
293,Trade Facilitation Handbook Part II - Technical Notes on Essential Trade Facilitation Measures,2006,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),SPS-General,,,,EN,Trade Facilitation Handbook Part II - Technical Notes on Essential Trade Facilitation Measures.pdf,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Trade Facilitation Handbook Part II - Technical Notes on Essential Trade Facilitation Measures,Trade Facilitation Handbook Part II - Technical Notes on Essential Trade Facilitation Measures,Paper,Papier,Papel
294,Aid for Trade and Capacity building: The case of SPS standards and developing countries; Trade Negiotiations Insight,2006,Gideon Rabinowitz,International Centre for Trade and Sustainable Development (ICTSD),SPS-General,,,,EN,Trade Negiotiations Insight - From Doha to Cotonou.pdf,International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),Aid for Trade and Capacity building: The case of SPS standards and developing countries; Trade Negiotiations Insight,Aid for Trade and Capacity building: The case of SPS standards and developing countries; Trade Negiotiations Insight,Other,Autres,Otro
295,Tackling non-traditional barriers to trade: How EPAs can be made truly pro-development; Trade Negotiations Insight,2010,Denise Prévost,International Centre for Trade and Sustainable Development (ICTSD),SPS-General,,,,EN,"Trade Negotiations Insight  Riding out the storm Will the EPAs sink (Issue 9, Volumw 9 - November 2010).pdf",International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),Tackling non-traditional barriers to trade: How EPAs can be made truly pro-development; Trade Negotiations Insight,Tackling non-traditional barriers to trade: How EPAs can be made truly pro-development; Trade Negotiations Insight,Other,Autres,Otro
296,Trading Up: How a Value Chain Approach Can Benefit the Rural Poor,2009,Jonathan Mitchell; Jodie Keane; Christopher Coles,Overseas Development Institute (ODI),SPS-General,,,,EN,Trading Up - How a Value Chain Approach Can Benefit the Rural Poor.pdf,Overseas Development Institute (ODI),Overseas Development Institute (ODI),Trading Up: How a Value Chain Approach Can Benefit the Rural Poor,Trading Up: How a Value Chain Approach Can Benefit the Rural Poor,Other,Autres,Otro
297,Transboundary animal and plant pests and diseases - World Summit on Food Security,2009,Food and Agriculture Organization (FAO),Food and Agriculture Organization (FAO),Animal Health,,,,EN,Transboundary animal and plant pests and diseases - World Summit on Food Security.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Transboundary animal and plant pests and diseases - World Summit on Food Security,Transboundary animal and plant pests and diseases - World Summit on Food Security,Report,Rapport,Reporte
298,UEMOA SPS Initiative,2005,West Africa Trade Hub (WATH),United States Agency for International Development (USAID),SPS-General,,,,EN,UEMOA SPS Initiative.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),UEMOA SPS Initiative,UEMOA SPS Initiative,Report,Rapport,Reporte
299,Una plaga bajo control (Video del BID),2010,Banco Interamericano de Desarrollo (BID - TV),Inter-American Development Bank (IDB),Plant Health,Peru,Perú,Pérou,SP,Una plaga bajo control (BID Video).aspx,Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),Una plaga bajo control (Video del BID),Una plaga bajo control (Video del BID),,,
300,UNIDO's Trade Capacity Building Programme,2011,Ali Badarneh,United Nations Industrial Development Organization (UNIDO),SPS-General,,,,EN,UNIDO’s Trade Capacity Building Programme.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),UNIDO's Trade Capacity Building Programme,UNIDO's Trade Capacity Building Programme,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
301,Uniting Climate and Disease Research to Improve Health in Poor Regions,2009,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),SPS-General,,,,EN,Uniting Climate and Disease.aspx,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),Uniting Climate and Disease Research to Improve Health in Poor Regions,Uniting Climate and Disease Research to Improve Health in Poor Regions,,,
302,Use of economics in pest and disease management,2009,Douglas Birnie,Ministry of Agriculture and Forestry (MAF) of New Zealand,Plant Health,New Zealand,Nueva Zelandia,Nouvelle-Zélande,EN,Use of economics in pest and disease management.pdf,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Use of economics in pest and disease management,Use of economics in pest and disease management,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
303,Using qualitative market mapping to explore Aflatoxin contamination along the Maize and Groundnut Value Chains,2010,J. Hellin; J. Ndjeunga and P.C Trench,International Food Policy Research Institute (IFPRI),Food Safety,,,,EN,Using qualitative market mapping to explore Aflatoxin contamination along the Maize and Groundnut Value Chains.pdf,International Food Policy Research Institute (IFPRI),International Food Policy Research Institute (IFPRI),Using qualitative market mapping to explore Aflatoxin contamination along the Maize and Groundnut Value Chains,Using qualitative market mapping to explore Aflatoxin contamination along the Maize and Groundnut Value Chains,Paper,Papier,Papel
304,Varroa in New Zealand: Economic Impact Assessment,2002,Minstry of Agriculture and Forestry (MAF),Ministry of Agriculture and Forestry (MAF) of New Zealand,Plant Health,New Zealand,Nueva Zelandia,Nouvelle-Zélande,EN,Varroa in New Zealand - Economic Impact Assessment.pdf,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Varroa in New Zealand: Economic Impact Assessment,Varroa in New Zealand: Economic Impact Assessment,Other,Autres,Otro
305,Vietnam's Fisheries Exports to the EC: Public-Private Collaboration to Address Non-Tariff Measures,2009,Paolo Vergano,International Trade Centre (ITC),SPS-General,Viet Nam,Viet Nam,Viet Nam,EN,Vietnam’s Fisheries Exports to the EC Public - Private Collaboration to Address Non-Tariff Measures.pdf,International Trade Centre (ITC),International Trade Centre (ITC),Vietnam's Fisheries Exports to the EC: Public-Private Collaboration to Address Non-Tariff Measures,Vietnam's Fisheries Exports to the EC: Public-Private Collaboration to Address Non-Tariff Measures,Paper,Papier,Papel
306,WHO global strategy for food safety - Safer food for better health,2002,World Health Organisation (WHO),World Health Organization (WHO),Food Safety,,,,EN,WHO global strategy for food safety - safer food for better health.pdf,World Health Organization (WHO),World Health Organization (WHO),WHO global strategy for food safety - Safer food for better health,WHO global strategy for food safety - Safer food for better health,Report,Rapport,Reporte
307,"WHO Initiative to Estimate the Global Burden of Foodborne Diseases - First formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Implementing Strategy, Setting Priorities and Assigning the Tasks",2007,World Health Organization (WHO),World Health Organization (WHO),Food Safety,,,,EN,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - First formal meeting of FERG.pdf,World Health Organization (WHO),World Health Organization (WHO),"WHO Initiative to Estimate the Global Burden of Foodborne Diseases - First formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Implementing Strategy, Setting Priorities and Assigning the Tasks","WHO Initiative to Estimate the Global Burden of Foodborne Diseases - First formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Implementing Strategy, Setting Priorities and Assigning the Tasks",Paper,Papier,Papel
308,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Second formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Appraising the Evidence and Reviewing Initial Results,2008,World Health Organization,World Health Organization (WHO),Food Safety,,,,EN,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Second formal meeting of FERG.pdf,World Health Organization (WHO),World Health Organization (WHO),WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Second formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Appraising the Evidence and Reviewing Initial Results,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Second formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Appraising the Evidence and Reviewing Initial Results,Other,Autres,Otro
309,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - A Summary Document,,World Health Organization (WHO),World Health Organization (WHO),Food Safety,,,,EN,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Summary Document.pdf,World Health Organization (WHO),World Health Organization (WHO),WHO Initiative to Estimate the Global Burden of Foodborne Diseases - A Summary Document,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - A Summary Document,Other,Autres,Otro
310,"Why agriculture needs technology to help meet a growing demand for safe, nutritious and affordable food",2009,Jeff Simmons,Elanco Animal Health,SPS-General,,,,EN,"Why agriculture needs technology to help meet a growing demand for safe, nutritious and affordable food.pdf",Elanco Animal Health,Elanco Animal Health,"Why agriculture needs technology to help meet a growing demand for safe, nutritious and affordable food","Why agriculture needs technology to help meet a growing demand for safe, nutritious and affordable food",Paper,Papier,Papel
311,Making Markets Work in Africa,2009,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),Animal Health,,,,EN,Why Markets Don't Work in Africa.aspx,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),Making Markets Work in Africa,Making Markets Work in Africa,,,
312,WTP Estimates Of The Societal Costs Of U.S. Food-Borne Illness,2007,Tanya Roberts,American Journal of Agricultural Economics,Food Safety,United States,Estados Unidos,Etats-Unis,EN,WTP Estimates Of The Societal Costs Of U.S. Food-Borne Illness.pdf,American Journal of Agricultural Economics,American Journal of Agricultural Economics,WTP Estimates Of The Societal Costs Of U.S. Food-Borne Illness,WTP Estimates Of The Societal Costs Of U.S. Food-Borne Illness,Journal Article,Journal Article,Journal Arcticle
313,"Zambia and the Multilateral Trading System - The Impact of WTO Agreements, Negotiations and Implementation",2006,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),SPS-General,Zambia,Zambia,Zambie,EN,"Zambia and the Multilateral Trading System - The Impact of WTO Agreements, Negotiations and Implementation.pdf",United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),"Zambia and the Multilateral Trading System - The Impact of WTO Agreements, Negotiations and Implementation","Zambia and the Multilateral Trading System - The Impact of WTO Agreements, Negotiations and Implementation",Paper,Papier,Papel
314,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Development Coordination,2012,Asian Development Bank,Asian Development Bank (ADB),SPS-General,,,,EN,ADB_GMS_TradeProject_DevelopmentCoordination.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Development Coordination,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Development Coordination,,,
315,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic and Financial Analysis,2012,Asian Development Bank,Asian Development Bank (ADB),SPS-General,,,,EN,ADB_GMS_TradeProject_EconomicAndFinancialAnalysis.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic and Financial Analysis,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic and Financial Analysis,,,
316,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic Analysis,2012,Asian Development Bank,Asian Development Bank (ADB),SPS-General,,,,EN,ADB_GMS_TradeProject_EconomicAnalysis.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic Analysis,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic Analysis,,,
317,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Detailed SPS Issues Sector Assessment,2012,Asian Development Bank,Asian Development Bank (ADB),SPS-General,,,,EN,ADB_GMS_TradeProject_SPSAssessment.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Detailed SPS Issues Sector Assessment,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Detailed SPS Issues Sector Assessment,,,
318,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Sector Assessment Summary: Industry and Trade,2012,Asian Development Bank,Asian Development Bank (ADB),SPS-General,,,,EN,ADB_GMS_TradeProject_SPSAssessmentSummary.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Sector Assessment Summary: Industry and Trade,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Sector Assessment Summary: Industry and Trade,,,
319,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade - Technical Assistance Report,2012,Asian Development Bank,Asian Development Bank (ADB),SPS-General,,,,EN,ADB_GMS_TradeProject_TAReport.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Improved SPS Handling in Greater Mekong Subregion (GMS) Trade - Technical Assistance Report,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade - Technical Assistance Report,,,
320,Impact of Food Safety Standards on Processed Food Exports from Developing Countries,2009,Juthathip Jongwanich,Asian Development Bank (ADB),Food Safety,,,,EN,ADB_ImpactFoodSafetyStandards.pdf,Asian Development Bank (ADB),Asian Development Bank (ADB),Impact of Food Safety Standards on Processed Food Exports from Developing Countries,Impact of Food Safety Standards on Processed Food Exports from Developing Countries,,,
321,SPS measures and possible market access implications for agricultural trade in the Doha Round: An analysis of systemic issues,2012,Murali Kullummal,Asia-Pacific Research and Training Network on Trade (ARTNet),SPS-General,,,,EN,ARTNeT_WorkingPaper116_SPSMarketAccess.pdf,Asia-Pacific Research and Training Network on Trade (ARTNet),Asia-Pacific Research and Training Network on Trade (ARTNet),SPS measures and possible market access implications for agricultural trade in the Doha Round: An analysis of systemic issues,SPS measures and possible market access implications for agricultural trade in the Doha Round: An analysis of systemic issues,,,
322,Benefit-cost analysis of options for managing Queensland fruit fly in Victoria,2010,"Arthur Ha, Kristoffer Larson, Sallyann Harvey, Bill Fisher, Bill Malcolm",Australian Department of Primary Industries (Victoria),Plant Health,Australia,Australia,Australie,EN,AUS_BenefitAndCosts_ManagingFruitFlyVictoria.pdf,Australian Department of Primary Industries (Victoria),Australian Department of Primary Industries (Victoria),Benefit-cost analysis of options for managing Queensland fruit fly in Victoria,Benefit-cost analysis of options for managing Queensland fruit fly in Victoria,,,
323,Importance of Cold Chain to the Fish Industry (Vol. 28 No.6),2012,Izzat Feidi,Arab World Agribusiness,Food Safety,,,,EN,AWA_Importance_of_Cold_Chain_to_Fish_Industry_2012.pdf,Arab World Agribusiness,Arab World Agribusiness,Importance of Cold Chain to the Fish Industry (Vol. 28 No.6),Importance of Cold Chain to the Fish Industry (Vol. 28 No.6),,,
324,Challenges of animal health information systems and surveillance for animal diseases and zoonoses,2011,Food and Agriculture Organization (FAO),Food and Agriculture Organization (FAO),Animal Health,,,,EN,FAO_AnimalHealth.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Challenges of animal health information systems and surveillance for animal diseases and zoonoses,Challenges of animal health information systems and surveillance for animal diseases and zoonoses,,,
325,"Food Safety, Private Standards Schemes and Trade: The Implications of the FDA Food Safety Modernization Act",2012,John Humphrey,Institute of Development Studies (IDS),Food Safety,,,,EN,IDSWorkingPaper403_USFSMA.pdf,Institute of Development Studies (IDS),Institute of Development Studies (IDS),"Food Safety, Private Standards Schemes and Trade: The Implications of the FDA Food Safety Modernization Act","Food Safety, Private Standards Schemes and Trade: The Implications of the FDA Food Safety Modernization Act",,,
326,The Interplay of Public and Private Standards - Literature Review Series on the Impacts of Private Standards; Part III,2011,International Trade Centre (ITC),International Trade Centre (ITC),SPS-General,,,,EN,ITC_InterplayPublicAndPrivateStandards.pdf,International Trade Centre (ITC),International Trade Centre (ITC),The Interplay of Public and Private Standards - Literature Review Series on the Impacts of Private Standards; Part III,The Interplay of Public and Private Standards - Literature Review Series on the Impacts of Private Standards; Part III,,,
327,Estimating the Constraints to Agricultural Trade of Developing Countries,2013,"Evdokia Moïsé, Claire Delpeuch, Silvia Sorescu, Novella Bottini, Arthur Foch",Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,OECD_EstimatingConstraintsAgrucultureExports.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Estimating the Constraints to Agricultural Trade of Developing Countries,Estimating the Constraints to Agricultural Trade of Developing Countries,,,
328,Non-Tariff Measures in Agri?Food Trade: Improving Policy Coherence for Development (PCD in Focus),2013,Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,OECD_Note_PCD_in_Focus_NTMs_Jan-13.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Non-Tariff Measures in Agri?Food Trade: Improving Policy Coherence for Development (PCD in Focus),Non-Tariff Measures in Agri?Food Trade: Improving Policy Coherence for Development (PCD in Focus),,,
329,Evaluation of Performance of Veterinary Services (PVS) - Belize,2009,"Barry Stemshorn, Recaredo Ugarte, Linda Logan",World Organisation for Animal Health (OIE),Animal Health,Belize,Belice,Belize,EN,OIE_PVS_Belize_May-09.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Belize,Evaluation of Performance of Veterinary Services (PVS) - Belize,,,
330,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Bolivia,2008,"Ernesto Mainegra, Francisco Muzio Llado, Mara González",World Organisation for Animal Health (OIE),Animal Health,"Bolivia, Plurinational State of","Bolivia, Estado Plurinacional de","Bolivie, Etat Plurinational de",SP,OIE_PVS_Bolivia_Dic-08.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Bolivia,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Bolivia,,,
331,Evaluation of Performance of Veterinary Services (PVS) - Botswana,2010,"Eric Fermet-Quinet, Julia Punderson, Tomoko Ishibashi, Bonaventure Mtei",World Organisation for Animal Health (OIE),Animal Health,Botswana,Botswana,Botswana,EN,OIE_PVS_Botswana_Apr-10.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Botswana,Evaluation of Performance of Veterinary Services (PVS) - Botswana,,,
332,Evaluation of Performance of Veterinary Services (PVS) - Brazil,2007,"Herbert Schneider, Moisés Vargas-Teran, Salomé Koloffon",World Organisation for Animal Health (OIE),Animal Health,Brazil,Brasil,Brésil,EN,OIE_PVS_Brazil_Apr-07.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Brazil,Evaluation of Performance of Veterinary Services (PVS) - Brazil,,,
333,Evaluation des Performances des Services Vétérinaires (PVS) - Guinée,2007,"Abdoulaye Bouna Niang, Hichem Bouzghaia",World Organisation for Animal Health (OIE),Animal Health,Guinea,Guinea,Guinée,FR,OIE_PVS_Guinea_Mai-07.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation des Performances des Services Vétérinaires (PVS) - Guinée,Evaluation des Performances des Services Vétérinaires (PVS) - Guinée,,,
334,Evaluation des Performances des Services Vétérinaires (PVS) - Guinée-Bissau,2008,"Pierre Primot, Nicolas Denormandie",World Organisation for Animal Health (OIE),Animal Health,Guinea Bissau,Guinea-Bissau,Guinée-Bissau,FR,OIE_PVS_GuineeBissau_Avr-08.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation des Performances des Services Vétérinaires (PVS) - Guinée-Bissau,Evaluation des Performances des Services Vétérinaires (PVS) - Guinée-Bissau,,,
335,Evaluation of Performance of Veterinary Services (PVS) - Namibia,2008,"A. Thiermann, S. Hutter",World Organisation for Animal Health (OIE),Animal Health,Namibia,Namibia,Namibie,EN,OIE_PVS_Namibia_Aug-08.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Namibia,Evaluation of Performance of Veterinary Services (PVS) - Namibia,,,
336,Evaluation of Performance of Veterinary Services (PVS) - Nigeria,2007,"Masiga, Diop",World Organisation for Animal Health (OIE),Animal Health,Nigeria,Nigeria,Nigéria,EN,OIE_PVS_Nigeria_Aug-07.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Nigeria,Evaluation of Performance of Veterinary Services (PVS) - Nigeria,,,
337,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Panamá,2007,"Andres Schnöller, Sabine Hutter",World Organisation for Animal Health (OIE),Animal Health,Panama,Panamá,Panama,SP,OIE_PVS_Panama_Abr-07.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Panamá,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Panamá,,,
338,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Paraguay,2009,"Alejandro Thiermann, Mara González",World Organisation for Animal Health (OIE),Animal Health,Paraguay,Paraguay,Paraguay,SP,OIE_PVS_Paraguay_Abr-09.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Paraguay,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Paraguay,,,
339,Evaluation des Performances des Services Vétérinaires (PVS) - République Centrafricaine,2010,"Nicolas Denormandie, Fatoumata Samaké Traoré, Nilton Antônio de Morais",World Organisation for Animal Health (OIE),Animal Health,Central African Republic,República Centroafricana,République centrafricaine,FR,OIE_PVS_RCA_Aou-10.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation des Performances des Services Vétérinaires (PVS) - République Centrafricaine,Evaluation des Performances des Services Vétérinaires (PVS) - République Centrafricaine,,,
340,Evaluation of Performance of Veterinary Services (PVS) - Swaziland,2007,"Ghazi Yehia, Anne Mackenzie",World Organisation for Animal Health (OIE),Animal Health,Swaziland,Swazilandia,Swaziland,EN,OIE_PVS_Swaziland_Sep-07.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Swaziland,Evaluation of Performance of Veterinary Services (PVS) - Swaziland,,,
341,Evaluation of Performance of Veterinary Services (PVS) - Syria,2008,"Hassan Aidaros, Fikri Abdessalam",World Organisation for Animal Health (OIE),Animal Health,Syrian Arab Republic,República Árabe Siria,République arabe syrienne,EN,OIE_PVS_Syria_Jul-08.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Syria,Evaluation of Performance of Veterinary Services (PVS) - Syria,,,
342,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Uruguay,2008,"Peter Fernández, Eric Fermet-Quinet",World Organisation for Animal Health (OIE),Animal Health,Uruguay,Uruguay,Uruguay,SP,OIE_PVS_Uruguay_Abr-08.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Uruguay,Evaluación de las Prestaciones de los Servicios Veterinarios (PVS) - Uruguay,,,
343,Evaluation of Performance of Veterinary Services (PVS) - Socialist Republic of Vietnam,2007,"E. Fermet-Quinet, R. Jane, S. Forman",World Organisation for Animal Health (OIE),Animal Health,Viet Nam,Viet Nam,Viet Nam,EN,OIE_PVS_Vietnam_May-07.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Evaluation of Performance of Veterinary Services (PVS) - Socialist Republic of Vietnam,Evaluation of Performance of Veterinary Services (PVS) - Socialist Republic of Vietnam,,,
344,The assessment of the capacity needs of SMCA service providers in Uganda to support priority product value chains,2012,Ayaah Enterprises Ltd.,"Ministry of Trade Tourism and Industry, Uganda",Food Safety,Uganda,Uganda,Ouganda,EN,Uganda_SMCA_CapactityReport_Aug-12.pdf,"Ministry of Trade Tourism and Industry, Uganda","Ministry of Trade Tourism and Industry, Uganda",The assessment of the capacity needs of SMCA service providers in Uganda to support priority product value chains,The assessment of the capacity needs of SMCA service providers in Uganda to support priority product value chains,,,
345,Independent Evaluation - Malawi Capacity Building for Aflatoxin Management and Control in Groundnuts,2012,UNIDO Evaluation Group,United Nations Industrial Development Organization (UNIDO),Food Safety,Malawi,Malawi,Malawi,EN,UNIDO_AflatoxinMalawi_FinalEvaluationReport.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Independent Evaluation - Malawi Capacity Building for Aflatoxin Management and Control in Groundnuts,Independent Evaluation - Malawi Capacity Building for Aflatoxin Management and Control in Groundnuts,,,
346,"Meeting Standards - Winning Markets Trade Standards Compliance 2010, Rationale and Key Findings",2010,UNIDO; Norad; IDS,United Nations Industrial Development Organization (UNIDO),SPS-General,,,,EN,UNIDO_TSC2010_RationaleAndKeyFindings.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),"Meeting Standards - Winning Markets Trade Standards Compliance 2010, Rationale and Key Findings","Meeting Standards - Winning Markets Trade Standards Compliance 2010, Rationale and Key Findings",,,
347,What do Border Rejections tell us about Trade Standards Compliance of Developing Countries? Analysis of EU and US Data 2002-2008,2011,"Spencer Henson, Edward Olale",United Nations Industrial Development Organization (UNIDO),SPS-General,,,,EN,UNIDO_WorkingPaper_BorderRejectionAnalysis.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),What do Border Rejections tell us about Trade Standards Compliance of Developing Countries? Analysis of EU and US Data 2002-2008,What do Border Rejections tell us about Trade Standards Compliance of Developing Countries? Analysis of EU and US Data 2002-2008,,,
348,Armenia - Managing food safety and agricultural health: An action plan,2007,The World Bank,The World Bank,SPS-General,Armenia,Armenia,Arménie,EN,WB_ArmeniaSPSActionPlan_Mar-07.pdf,The World Bank,The World Bank,Armenia - Managing food safety and agricultural health: An action plan,Armenia - Managing food safety and agricultural health: An action plan,,,
349,"Africa Can Help Feed Africa , Removing barriers to regional trade in food staples",2012,The World Bank,The World Bank,SPS-General,,,,EN,WB_CanAfricaFeedAfrica.pdf,The World Bank,The World Bank,"Africa Can Help Feed Africa , Removing barriers to regional trade in food staples","Africa Can Help Feed Africa , Removing barriers to regional trade in food staples",,,
